,Date & Time,Event Category,Status,Location,Image / Video,Remarks
"09/03/2025, 6:22 PM",Vehicle Control - Stray Parking,COMPLETED,camera_0031,Middle Gate Pathway-1,"Image: https://storage.googleapis.com/profile-images-123/ai_labelled/52d0be7b-bd01-441a-85fc-a3ffd119be07_550fc00e-de70-4e04-b0d7-99ff18680a64.jpeg
Video: https://storage.googleapis.com/profile-images-123/tatva_global_clips/733136a2-7cdf-4ab0-8ee1-61e6afd67663.mp4",
"09/03/2025, 6:10 PM",Behavioural Analytics-Idle Worker,COMPLETED,camera_0045,2RD FLR GIRLS_W.A,"Image: https://storage.googleapis.com/profile-images-123/ai_labelled/535faf2c-ce4f-4154-9f94-5fe9f03c216f_7a5e4338-dfaa-4b27-b15a-a734304d1656.jpeg
Video: https://storage.googleapis.com/profile-images-123/tatva_global_clips/e983751e-ed60-4335-a0f1-1ebe475ceb4c.mp4",
"09/03/2025, 5:52 PM",Behavioural Analytics-Idle Worker,COMPLETED,camera_0045,2RD FLR GIRLS_W.A,"Image: https://storage.googleapis.com/profile-images-123/ai_labelled/535faf2c-ce4f-4154-9f94-5fe9f03c216f_808db20a-3d0b-4d8d-b3dd-b3dd6f71b2a4.jpeg
Video: https://storage.googleapis.com/profile-images-123/tatva_global_clips/a4004155-f6c8-4d2f-9483-b205a5f1798f.mp4",
"09/03/2025, 4:34 PM",Behavioural Analytics - Idle Worker,COMPLETED,camera_0037,O.B_Gr.F_Wash room,"Image: https://storage.googleapis.com/profile-images-123/labelled/1756897460707_3b3d91a1-12b9-49b4-b6c9-9be1af07ef66.jpeg
Video: https://storage.googleapis.com/profile-images-123/trim-videos/3b3d91a1-12b9-49b4-b6c9-9be1af07ef66_0037-574020000.ts.mp4?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=vari-327%40generative-ai-variphi.iam.gserviceaccount.com%2F20250903%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20250903T110443Z&X-Goog-Expires=604800&X-Goog-SignedHeaders=host&X-Goog-Signature=3f52f96c403b3a6e7b094cd2386cc258348d53ce343776aaa5b6b3e6fa2127e220ecb5dc090e4fd66e17ae808088cb91eda737f7af45c5a6f54e23321bc20023dfb4a7a8b885929e3258259987559b6c459621d0323148aede1abe6e3e8d23c604de4871ec8c658eba7dc15645255eec97c10dc55d6ba59ae252e6916812d9012d1c8341a593711d0fc39ddc833681ba8f3d7866aa8d58f5b7711c77594ea213c4e6ad5a503a3b9dab0d67879dfbee0cd5da135e1f05ea3b663ec5f9e730194e1d6b888765b190549b102433cf1227bc3e25d93b7be3243d0b2bf3d98e7e3414a9318aa14e241b91a9bdd7a9849d99ed2dda9b6482ed369153282d179f326d80",
"09/03/2025, 4:33 PM",Vehicle Control - Stray Parking,COMPLETED,camera_0031,Middle Gate Pathway-1,"Image: https://storage.googleapis.com/profile-images-123/labelled/1756897403512_52d0be7b-bd01-441a-85fc-a3ffd119be07.jpeg
Video: https://storage.googleapis.com/profile-images-123/trim-videos/52d0be7b-bd01-441a-85fc-a3ffd119be07_0031-569700000.ts.mp4?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=vari-327%40generative-ai-variphi.iam.gserviceaccount.com%2F20250903%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20250903T110347Z&X-Goog-Expires=604800&X-Goog-SignedHeaders=host&X-Goog-Signature=aad293c73b912c2d2665690a77cdbe389829217da822cba5228a27781af3cb2e1f5bcc2dd7d8dcc575a89fd20c0cc263fc9b1e6a63942bf10d3a5bcdec3a8c2a0537671a5ba4d65b343770f16028e3eeba4045a18e1a9b9503edc6a3f82e54625ef80da46ab5767fccdadfbd5da63a412d2dbd44c92fb518f2b01e4b00302bd65716f69613717c3505473e754afb9f5031a1580e7b49652c18354a7b1a46306a705be4b328f37f6ef3a756ecf6277b2e4a3f00890277c8e175c9eff7ba1770e0c17731a2dc57cf359393e06e20e5fcd167c5401d7bf3b407e9db4779f80c2e2607f906eab558bb18d5995703c08c32715bdf40187aa565177f92910e1272aca2",
"09/03/2025, 4:03 PM",Vehicle Control - Person-Vehicle Interaction,COMPLETED,camera_0031,Middle Gate Pathway-1,"Image: https://storage.googleapis.com/profile-images-123/labelled/1756895581175_52d0be7b-bd01-441a-85fc-a3ffd119be07.jpeg
Video: https://storage.googleapis.com/profile-images-123/trim-videos/52d0be7b-bd01-441a-85fc-a3ffd119be07_0031-399960000.ts.mp4",
"09/03/2025, 4:02 PM",Vehicle Control - Person-Vehicle Interaction,COMPLETED,camera_0031,Middle Gate Pathway-1,"Image: https://storage.googleapis.com/profile-images-123/labelled/1756895527579_52d0be7b-bd01-441a-85fc-a3ffd119be07.jpeg
Video: https://storage.googleapis.com/profile-images-123/trim-videos/52d0be7b-bd01-441a-85fc-a3ffd119be07_0031-400680000.ts.mp4?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=vari-327%40generative-ai-variphi.iam.gserviceaccount.com%2F20250903%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20250903T103232Z&X-Goog-Expires=604800&X-Goog-SignedHeaders=host&X-Goog-Signature=8376c8185ffc195d1c7b1d60a4bbb5f272ed36c2f6139a67c0b7b7f4ce9515000a6daf3f0b636f4903256d69394bd2fcb41fda722994ef5cce6b96de5c66eed3dc43b2ebbc836a40f2b4b50f6358e9d9f18dffdf683fe610a507832e1a492a63e9c39618e1bbafe77f648613fc0547bf7e09bd3e8688d8591c2b846536f9c5dcca5f7b919e194a390f4c7909104dff183554cf5f21e4051e1b6a145aca4fe62f0c62df82cd3cc579aeeb67238e4c2ffc7f15df49027573d4ab040edc33e983211a9397ad9fb5961b42fd9f753498be7802bc2007339f249924ce5651f508d8e1524acb469301274e6268332fa892e242d28874f69c3d3e2705c0abadda56e4ba",
"09/03/2025, 3:43 PM",Behavioural Analytics-Crowd Gathering,COMPLETED,camera_0039,O.B_Gr.F_Atrim_1,"Image: https://storage.googleapis.com/profile-images-123/ai_labelled/7fe166ce-02af-432d-ac1a-1cfb04a4a211_e3b19551-0e09-432d-933b-0924a33a1ac6.jpeg
Video: https://storage.googleapis.com/profile-images-123/tatva_global_clips/749ef174-06de-4538-a640-42f7e0058c2b.mp4",
"09/03/2025, 3:41 PM",Vehicle Control - Person-Vehicle Interaction,COMPLETED,camera_0031,Middle Gate Pathway-1,"Image: https://storage.googleapis.com/profile-images-123/labelled/1756894277186_52d0be7b-bd01-441a-85fc-a3ffd119be07.jpeg
Video: https://storage.googleapis.com/profile-images-123/trim-videos/52d0be7b-bd01-441a-85fc-a3ffd119be07_0031-281880000.ts.mp4?X-Goog-Algorithm=GOOG4-RSA-SHA256&X-Goog-Credential=vari-327%40generative-ai-variphi.iam.gserviceaccount.com%2F20250903%2Fauto%2Fstorage%2Fgoog4_request&X-Goog-Date=20250903T101142Z&X-Goog-Expires=604800&X-Goog-SignedHeaders=host&X-Goog-Signature=0097cf59e33b568b114e564350cb55f9332dc36ed84c3162fbdae07fedbf3db7425b76a678533712b34597917ad3509131f7f18d4d77089f4c12f7ae6c4d0f0276339f15926a4e63d5fb6a330f67d104a39b3ce4f8781ae84f283481930ddaaed23c9346cc2cc148c0e38b72f0cb12256e6752cb4bbd990f485c77b28434e10fa52589178290a6836e79ce558decaa886b2a17bb12e9b8eb7c536e4a3528a41c17975c28b6644109815870a8f96b35504fdf6ea67c56f3d092024f47e185eea83489515ff7b0099e63579beec9dcf22f9931ee828689dff383bdc3366616309d3f78f6815542bba86e9cae705ad37451aa7d529b450a5dd6c1eea846705d9e93",
"09/03/2025, 3:38 PM",Vehicle Control - Stray Parking,COMPLETED,camera_0031,Middle Gate Pathway-1,"Image: https://storage.googleapis.com/profile-images-123/ai_labelled/52d0be7b-bd01-441a-85fc-a3ffd119be07_958d9270-53c9-4ab1-ab71-f8b6cbbb45cb.jpeg
Video: https://storage.googleapis.com/profile-images-123/tatva_global_clips/d0fe398c-15f6-4f10-b197-073383c0b668.mp4",
